departureAirport,origCountry,arrivalAirport,destCountry,aircraftName,Frequency,departure_latitude,departure_longitude,arrival_latitude,arrival_longitude
ICN,South Korea,SHE,China,Boeing B777-300,207,37.4633,126.44,41.6398,123.483
HKD,Japan,TPE,Taiwan,Airbus A330-200,207,41.77,140.822,25.0777,121.233
SHE,China,ICN,South Korea,Boeing B777-300,207,41.6398,123.483,37.4633,126.44
PVG,China,CPH,Denmark,Boeing B777-200LRF,207,31.1434,121.805,55.6179,12.656
BKK,Thailand,FCO,Italy,Boeing B747-400,207,13.6811,100.747,41.8003,12.2389
BOM,India,JED,Saudi Arabia,Boeing B777-300ER,207,19.0887,72.8679,21.6796,39.1565
KHH,Taiwan,PVG,China,Airbus A330-300,205,22.5771,120.35,31.1434,121.805
PVG,China,KHH,Taiwan,Airbus A330-300,205,31.1434,121.805,22.5771,120.35
ICN,South Korea,CSX,China,Airbus A330-200,205,37.4633,126.44,28.1892,113.22
RUH,Saudi Arabia,BOM,India,Boeing B777-200ER,204,24.9576,46.6988,19.0887,72.8679
SIN,Singapore,TAO,China,Boeing B777-200/200ER,204,1.35019,103.994,36.2661,120.374
RUH,Saudi Arabia,DEL,India,Boeing B777-200ER,204,24.9576,46.6988,28.5665,77.1031
DXB,United Arab Emirates,MED,Saudi Arabia,Boeing B777-300ER,204,25.2528,55.3644,24.5534,39.7051
DEL,India,RUH,Saudi Arabia,Boeing B777-200ER,204,28.5665,77.1031,24.9576,46.6988
TAO,China,SIN,Singapore,Boeing B777-200/200ER,204,36.2661,120.374,1.35019,103.994
TPE,Taiwan,ICN,South Korea,Boeing B777-200ER,203,25.0777,121.233,37.4633,126.44
DEL,India,CDG,France,Airbus A330-200,203,28.5665,77.1031,49.0097,2.54778
NRT,Japan,TPE,Taiwan,Boeing B747-8F,203,35.7653,140.386,25.0777,121.233
ICN,South Korea,BKK,Thailand,Boeing B777-300ER,203,37.4633,126.44,13.6811,100.747
